time_s,ppg_au
0.54,0.01444
0.544,0.02492
0.548,0.01928
0.552,0.04243
0.556,0.02368
0.56,0.01739
0.564,0.03411
0.568,0.01747
0.572,0.02195
0.576,0.01983
0.58,0.02608
0.584,0.02232
0.588,0.04579
0.592,0.02259
0.596,0.0266
0.6,0.0327
0.604,0.04494
0.608,0.02011
0.612,0.01754
0.616,0.03698
0.62,0.02059
0.624,0.02094
0.628,0.02194
0.632,0.03474
0.636,0.03211
0.64,0.00333
0.644,0.04117
0.648,0.0453
0.652,0.04486
0.656,0.03888
0.66,0.05941
0.664,0.03692
0.668,0.08857
0.672,0.07745
0.676,0.08848
0.68,0.11475
0.684,0.14865
0.688,0.14242
0.692,0.17632
0.696,0.19424
0.7,0.22786
0.704,0.27558
0.708,0.32501
0.712,0.34597
0.716,0.38732
0.72,0.43745
0.724,0.48853
0.728,0.53557
0.732,0.58834
0.736,0.63384
0.74,0.6932
0.744,0.74899
0.748,0.82624
0.752,0.84226
0.756,0.91035
0.76,0.92996
0.764,0.9625
0.768,0.99814
0.772,1.0242
0.776,1.01794
0.78,1.0212
0.784,1.0268
0.788,1.01656
0.792,0.99414
0.796,0.97111
0.8,0.93671
0.804,0.8934
0.808,0.86468
0.812,0.83255
0.816,0.77714
0.82,0.71355
0.824,0.66832
0.828,0.61434
0.832,0.55784
0.836,0.51065
0.84,0.46606
0.844,0.44414
0.848,0.39629
0.852,0.34665
0.856,0.3214
0.86,0.29887
0.864,0.26625
0.868,0.25768
0.872,0.23115
0.876,0.23671
0.88,0.23491
0.884,0.21925
0.888,0.22554
0.892,0.2274
0.896,0.23218
0.9,0.24418
0.904,0.23138
0.908,0.25209
0.912,0.26672
0.916,0.25379
0.92,0.29132
0.924,0.29373
0.928,0.31686
0.932,0.31739
0.936,0.33157
0.94,0.34058
0.944,0.3397
0.948,0.35303
0.952,0.34784
0.956,0.33295
0.96,0.34735
0.964,0.34983
0.968,0.35838
0.972,0.34062
0.976,0.33913
0.98,0.33783
0.984,0.33174
0.988,0.29328
0.992,0.30074
0.996,0.28007
1.0,0.28474
1.004,0.27753
1.008,0.25629
1.012,0.22696
1.016,0.21609
1.02,0.22101
1.024,0.19672
1.028,0.1724
1.032,0.1734
1.036,0.15779
1.04,0.13124
1.044,0.13309
1.048,0.11165
1.052,0.11273
1.056,0.09918
1.06,0.09382
1.064,0.05984
1.068,0.07927
1.072,0.06712
1.076,0.08256
1.08,0.06177
1.084,0.05891
1.088,0.03888
1.092,0.03513
1.096,0.04224
1.1,0.05266
1.104,0.03191
1.108,0.05397
1.112,0.04618
1.116,0.02862
1.12,0.04982
1.124,0.02526
1.128,0.03744
1.132,0.02366
1.136,0.03219
1.14,0.03957
1.144,0.02185
1.148,0.03764
1.152,0.02088
1.156,0.02545
1.16,0.03787
1.164,0.0321
1.168,0.03435
1.172,0.01449
1.176,0.04594
1.18,0.01814
1.184,0.00952
1.188,0.0255
1.192,0.02435
1.196,0.04238
1.2,0.02946
1.204,0.02045
1.208,0.0157
1.212,0.03492
1.216,0.02699
1.22,0.02297
1.224,0.01132
1.228,0.03689
1.232,0.0255
1.236,0.03342
1.24,0.02897
1.244,0.02052
1.248,0.01141
1.252,0.03166
1.256,0.03489
1.26,0.01683
1.264,0.02217
1.268,0.0408
1.272,0.02595
1.276,0.03461
1.28,0.01687
1.284,0.02244
1.288,0.02718
1.292,0.0328
1.296,0.02161
1.3,0.03512
1.304,0.0381
1.308,0.0263
1.312,0.05072
1.316,0.06121
1.32,0.04294
1.324,0.07425
1.328,0.06227
1.332,0.10377
1.336,0.10169
1.34,0.10126
1.344,0.16718
1.348,0.17523
1.352,0.20126
1.356,0.2154
1.36,0.2657
1.364,0.29274
1.368,0.32348
1.372,0.37516
1.376,0.42075
1.38,0.46242
1.384,0.51174
1.388,0.57776
1.392,0.60963
1.396,0.68755
1.4,0.72208
1.404,0.77714
1.408,0.82277
1.412,0.87741
1.416,0.93202
1.42,0.94449
1.424,0.98991
1.428,0.99525
1.432,1.02334
1.436,1.02601
1.44,1.0309
1.444,1.0148
1.448,1.01843
1.452,0.9748
1.456,0.96318
1.46,0.92092
1.464,0.86842
1.468,0.82809
1.472,0.79402
1.476,0.72511
1.48,0.68705
1.484,0.61368
1.488,0.60607
1.492,0.52096
1.496,0.49766
1.5,0.44965
1.504,0.40347
1.508,0.35986
1.512,0.3265
1.516,0.27978
1.52,0.28552
1.524,0.23817
1.528,0.22527
1.532,0.20601
1.536,0.20138
1.54,0.21103
1.544,0.1945
1.548,0.22567
1.552,0.21656
1.556,0.22599
1.56,0.22235
1.564,0.24117
1.568,0.25571
1.572,0.25684
1.576,0.25405
1.58,0.28498
1.584,0.29485
1.588,0.30486
1.592,0.29967
1.596,0.31421
1.6,0.31502
1.604,0.33047
1.608,0.32683
1.612,0.3279
1.616,0.34447
1.62,0.35229
1.624,0.34786
1.628,0.31445
1.632,0.32233
1.636,0.32809
1.64,0.31829
1.644,0.29812
1.648,0.29705
1.652,0.2821
1.656,0.26397
1.66,0.24702
1.664,0.24848
1.668,0.22766
1.672,0.19371
1.676,0.19099
1.68,0.18236
1.684,0.16354
1.688,0.15566
1.692,0.14782
1.696,0.12188
1.7,0.10689
1.704,0.11937
1.708,0.09084
1.712,0.09289
1.716,0.08184
1.72,0.06727
1.724,0.04291
1.728,0.05634
1.732,0.06442
1.736,0.0577
1.74,0.05106
1.744,0.03776
1.748,0.03454
1.752,0.03293
1.756,0.00825
1.76,0.02104
1.764,0.01204
1.768,0.02287
1.772,0.01313
1.776,0.01475
1.78,0.01552
1.784,0.01313
1.788,0.00079
1.792,0.00954
1.796,0.00924
1.8,0.03167
1.804,0.00729
1.808,-0.00525
1.812,0.02184
1.816,0.00455
1.82,-0.00095
1.824,0.01419
1.828,-0.00376
1.832,-0.01195
1.836,0.01042
1.84,-0.01625
1.844,-0.01378
1.848,0.00232
1.852,0.02551
1.856,-0.0005
1.86,0.00171
1.864,0.0226
1.868,-0.0011
1.872,0.00834
1.876,0.00598
1.88,0.0236
1.884,0.00384
1.888,0.01016
1.892,0.0075
1.896,0.00783
1.9,0.01359
1.904,0.00666
1.908,0.00623
1.912,0.01016
1.916,0.01688
1.92,-0.01293
1.924,0.00729
1.928,0.01833
1.932,-0.00334
1.936,-0.01144
1.94,-0.01851
1.944,0.01038
1.948,-0.00546
1.952,0.00607
1.956,0.01619
1.96,0.01833
1.964,-0.00136
1.968,-0.01398
1.972,0.00173
1.976,-0.00475
1.98,-0.00419
1.984,0.01546
1.988,-0.01068
1.992,0.01915
1.996,-0.00694
2.0,0.00645
2.004,0.00551
2.008,0.00862
2.012,0.01679
2.016,0.0295
2.02,0.02452
2.024,0.02158
2.028,0.04967
2.032,0.06292
2.036,0.09911
2.04,0.10282
2.044,0.11738
2.048,0.13897
2.052,0.17147
2.056,0.20143
2.06,0.24226
2.064,0.26662
2.068,0.30808
2.072,0.34086
2.076,0.40924
2.08,0.46648
2.084,0.50084
2.088,0.55356
2.092,0.6183
2.096,0.65711
2.1,0.72741
2.104,0.77361
2.108,0.81363
2.112,0.85559
2.116,0.91369
2.12,0.94106
2.124,0.95947
2.128,0.97356
2.132,0.97058
2.136,0.99418
2.14,0.99715
2.144,0.97493
2.148,0.94123
2.152,0.9308
2.156,0.90352
2.16,0.87609
2.164,0.84133
2.168,0.77653
2.172,0.73479
2.176,0.67579
2.18,0.63841
2.184,0.57122
2.188,0.52889
2.192,0.50642
2.196,0.43977
2.2,0.40535
2.204,0.35969
2.208,0.30532
2.212,0.27944
2.216,0.2515
2.22,0.23788
2.224,0.21041
2.228,0.20592
2.232,0.20222
2.236,0.18453
2.24,0.17289
2.244,0.19486
2.248,0.1902
2.252,0.18758
2.256,0.17669
2.26,0.20839
2.264,0.2073
2.268,0.21451
2.272,0.23127
2.276,0.25196
2.28,0.24926
2.284,0.26096
2.288,0.27683
2.292,0.28571
2.296,0.28664
2.3,0.28635
2.304,0.28204
2.308,0.30342
2.312,0.3038
2.316,0.32445
2.32,0.30508
2.324,0.2935
2.328,0.30896
2.332,0.28011
2.336,0.31128
2.34,0.26682
2.344,0.26982
2.348,0.24634
2.352,0.26881
2.356,0.23697
2.36,0.23095
2.364,0.211
2.368,0.18903
2.372,0.18493
2.376,0.17738
2.38,0.14174
2.384,0.1365
2.388,0.12028
2.392,0.10456
2.396,0.08863
2.4,0.08065
2.404,0.08563
2.408,0.0654
2.412,0.05476
2.416,0.02863
2.42,0.03313
2.424,0.02821
2.428,0.03087
2.432,0.01469
2.436,0.00681
2.44,0.01535
2.444,-0.01059
2.448,-0.00872
2.452,0.00511
2.456,0.00559
2.46,-0.00804
2.464,-0.01936
2.468,-0.01737
2.472,-0.01239
2.476,-0.02628
2.48,-0.02303
2.484,-0.01018
2.488,-0.0255
2.492,-0.03746
2.496,-0.02643
2.5,-0.02071
2.504,-0.03286
2.508,-0.01319
2.512,-0.00244
2.516,-0.02172
2.52,-0.02474
2.524,-0.03368
2.528,-0.01641
2.532,-0.02277
2.536,-0.02049
2.54,-0.01382
2.544,-0.03578
2.548,-0.02487
2.552,-0.01876
2.556,-0.01348
2.56,-0.01486
2.564,-0.02149
2.568,0.00161
2.572,-0.0238
2.576,0.00255
2.58,-0.02701
2.584,-0.02069
2.588,-0.01918
2.592,-0.02591
2.596,-0.02556
2.6,-0.01333
2.604,-0.01115
2.608,-0.02405
2.612,-0.03767
2.616,-0.02674
2.62,-0.01384
2.624,-0.03308
2.628,-0.04666
2.632,-0.02374
2.636,-0.01702
2.64,-0.02575
2.644,-0.00884
2.648,-0.03219
2.652,-0.03451
2.656,-0.02489
2.66,-0.01615
2.664,-0.02064
2.668,-0.03451
2.672,-0.02213
2.676,-0.00962
2.68,-0.0205
2.684,-0.00146
2.688,0.00032
2.692,-0.00377
2.696,0.00874
2.7,0.04608
2.704,0.06434
2.708,0.0675
2.712,0.08629
2.716,0.10209
2.72,0.12017
2.724,0.14111
2.728,0.19741
2.732,0.21249
2.736,0.25543
2.74,0.28982
2.744,0.34778
2.748,0.40413
2.752,0.43045
2.756,0.49253
2.76,0.5294
2.764,0.59087
2.768,0.65689
2.772,0.69251
2.776,0.75297
2.78,0.80799
2.784,0.8491
2.788,0.8809
2.792,0.92487
2.796,0.93859
2.8,0.95999
2.804,0.96763
2.808,0.96185
2.812,0.97649
2.816,0.9515
2.82,0.93415
2.824,0.89574
2.828,0.86924
2.832,0.84877
2.836,0.80285
2.84,0.73523
2.844,0.70114
2.848,0.66373
2.852,0.61851
2.856,0.56845
2.86,0.5079
2.864,0.44894
2.868,0.42376
2.872,0.34526
2.876,0.34347
2.88,0.29899
2.884,0.28549
2.888,0.24153
2.892,0.23768
2.896,0.21643
2.9,0.17429
2.904,0.18025
2.908,0.16403
2.912,0.1753
2.916,0.1871
2.92,0.15965
2.924,0.16765
2.928,0.17981
2.932,0.18861
2.936,0.19129
2.94,0.20284
2.944,0.22555
2.948,0.20111
2.952,0.23058
2.956,0.23905
2.96,0.25948
2.964,0.26495
2.968,0.27862
2.972,0.26956
2.976,0.28362
2.98,0.31125
2.984,0.27948
2.988,0.29157
2.992,0.29543
2.996,0.2842
3.0,0.27607
3.004,0.26946
3.008,0.26185
3.012,0.26491
3.016,0.24455
3.02,0.25759
3.024,0.2381
3.028,0.18951
3.032,0.20001
3.036,0.18599
3.04,0.1725
3.044,0.15533
3.048,0.14354
3.052,0.1401
3.056,0.10463
3.06,0.10729
3.064,0.08316
3.068,0.07194
3.072,0.08391
3.076,0.0639
3.08,0.05417
3.084,0.0449
3.088,0.04072
3.092,0.02457
3.096,0.01076
3.1,0.02101
3.104,0.01193
3.108,0.00283
3.112,0.00412
3.116,0.00829
3.12,-0.00442
3.124,-0.01171
3.128,-0.01585
3.132,-0.02977
3.136,0.00483
3.14,-0.02611
3.144,-0.01622
3.148,-0.02902
3.152,-0.00742
3.156,-0.03746
3.16,-0.0389
3.164,-0.03675
3.168,-0.02246
3.172,-0.02562
3.176,-0.03142
3.18,-0.02552
3.184,-0.03048
3.188,-0.03579
3.192,-0.03753
3.196,-0.03372
3.2,-0.04705
3.204,-0.02602
3.208,-0.03179
3.212,-0.02996
3.216,-0.03015
3.22,-0.03792
3.224,-0.03657
3.228,-0.03305
3.232,-0.02942
3.236,-0.02407
3.24,-0.01753
3.244,-0.04879
3.248,-0.01895
3.252,-0.02638
3.256,-0.0088
3.26,-0.05633
3.264,-0.02944
3.268,-0.02509
3.272,-0.03311
3.276,-0.0339
3.28,-0.02878
3.284,-0.03603
3.288,-0.04572
3.292,-0.02763
3.296,-0.02343
3.3,-0.00711
3.304,-0.03505
3.308,-0.00163
3.312,-0.0288
3.316,-0.01736
3.32,-0.02784
3.324,-0.02151
3.328,-0.02791
3.332,-0.02883
3.336,-0.03186
3.34,-0.02791
3.344,-0.02238
3.348,-0.02623
3.352,-0.01933
3.356,-0.00988
3.36,-0.01212
3.364,0.00545
3.368,0.00433
3.372,0.01839
3.376,0.00613
3.38,0.015
3.384,0.01866
3.388,0.04897
3.392,0.06627
3.396,0.04964
3.4,0.08653
3.404,0.10404
3.408,0.12702
3.412,0.1682
3.416,0.20774
3.42,0.24506
3.424,0.28156
3.428,0.32612
3.432,0.36189
3.436,0.41478
3.44,0.47406
3.444,0.5326
3.448,0.58835
3.452,0.6125
3.456,0.69217
3.46,0.72725
3.464,0.79865
3.468,0.81821
3.472,0.86119
3.476,0.8964
3.48,0.93806
3.484,0.93094
3.488,0.95939
3.492,0.98417
3.496,0.96945
3.5,0.9615
3.504,0.95209
3.508,0.92479
3.512,0.89813
3.516,0.88598
3.52,0.82939
3.524,0.78741
3.528,0.74432
3.532,0.6785
3.536,0.63695
3.54,0.59017
3.544,0.53759
3.548,0.47448
3.552,0.44124
3.556,0.39353
3.56,0.35972
3.564,0.32399
3.568,0.28708
3.572,0.2603
3.576,0.2329
3.58,0.20206
3.584,0.2047
3.588,0.17276
3.592,0.17318
3.596,0.16911
3.6,0.16669
3.604,0.18716
3.608,0.19058
3.612,0.18939
3.616,0.19338
3.62,0.19955
3.624,0.21544
3.628,0.22486
3.632,0.22493
3.636,0.23191
3.64,0.26384
3.644,0.25712
3.648,0.28919
3.652,0.28031
3.656,0.2978
3.66,0.30205
3.664,0.28671
3.668,0.29433
3.672,0.30881
3.676,0.29908
3.68,0.29868
3.684,0.29755
3.688,0.29497
3.692,0.28012
3.696,0.26608
3.7,0.2932
3.704,0.27905
3.708,0.26107
3.712,0.24342
3.716,0.22766
3.72,0.21953
3.724,0.21589
3.728,0.174
3.732,0.17423
3.736,0.16024
3.74,0.1399
3.744,0.14076
3.748,0.11165
3.752,0.10265
3.756,0.10046
3.76,0.07699
3.764,0.06143
3.768,0.06291
3.772,0.06971
3.776,0.05094
3.78,0.02718
3.784,0.0446
3.788,0.02092
3.792,0.02118
3.796,0.00225
3.8,0.02472
3.804,0.02319
3.808,0.00726
3.812,0.00774
3.816,-0.016
3.82,-0.02013
3.824,-0.01149
3.828,-0.00553
3.832,-0.01386
3.836,-0.00836
3.84,-0.00838
3.844,-0.00799
3.848,-0.00539
3.852,-0.00669
3.856,-0.00782
3.86,0.02027
3.864,-0.01941
3.868,0.00213
3.872,0.00784
3.876,-0.00302
3.88,-0.01519
3.884,-0.00828
3.888,0.0064
3.892,0.00124
3.896,-0.00776
3.9,0.00356
3.904,-0.01751
3.908,0.00239
3.912,0.00248
3.916,0.00134
3.92,-0.00613
3.924,-0.00534
3.928,0.00764
3.932,-0.01494
3.936,-0.00381
3.94,-0.00612
3.944,-0.00048
3.948,0.00242
3.952,0.00727
3.956,-0.00156
3.96,0.00526
3.964,-0.00068
3.968,0.00384
3.972,0.0143
3.976,0.01619
3.98,-0.00876
3.984,-0.00115
3.988,-0.00849
3.992,-0.00339
3.996,0.00051
4.0,0.00902
4.004,0.01426
4.008,-0.00204
4.012,0.00219
4.016,0.01446
4.02,0.00645
4.024,0.00619
4.028,0.01016
4.032,0.02175
4.036,0.01996
4.04,0.03958
4.044,0.04742
4.048,0.05534
4.052,0.05225
4.056,0.07996
4.06,0.08651
4.064,0.10422
4.068,0.13089
4.072,0.17881
4.076,0.18744
4.08,0.23665
4.084,0.25993
4.088,0.30835
4.092,0.33612
4.096,0.38236
4.1,0.42433
4.104,0.47266
4.108,0.53421
4.112,0.5899
4.116,0.62977
4.12,0.71735
4.124,0.74602
4.128,0.8107
4.132,0.84293
4.136,0.88268
4.14,0.94017
4.144,0.93684
4.148,0.97347
4.152,0.99742
4.156,1.00152
4.16,0.99527
4.164,0.98955
4.168,1.00429
4.172,0.95974
4.176,0.9416
4.18,0.8997
4.184,0.87002
4.188,0.82544
4.192,0.76211
4.196,0.72242
4.2,0.67337
4.204,0.62212
4.208,0.55952
4.212,0.51289
4.216,0.45807
4.22,0.4344
4.224,0.39903
4.228,0.35237
4.232,0.30867
4.236,0.26945
4.24,0.25089
4.244,0.25641
4.248,0.22796
4.252,0.23479
4.256,0.20537
4.26,0.20978
4.264,0.21893
4.268,0.20184
4.272,0.19648
4.276,0.21269
4.28,0.21642
4.284,0.2244
4.288,0.23252
4.292,0.24518
4.296,0.27306
4.3,0.25749
4.304,0.27587
4.308,0.29772
4.312,0.30523
4.316,0.3109
4.32,0.29329
4.324,0.33467
4.328,0.33226
4.332,0.35423
4.336,0.31025
4.34,0.33593
4.344,0.32754
4.348,0.32481
4.352,0.33819
4.356,0.3299
4.36,0.31203
4.364,0.32238
4.368,0.29913
4.372,0.28486
4.376,0.25061
4.38,0.26125
4.384,0.23004
4.388,0.23074
4.392,0.21511
4.396,0.19852
4.4,0.18016
4.404,0.17766
4.408,0.15597
4.412,0.14143
4.416,0.13977
4.42,0.10803
4.424,0.12839
4.428,0.09718
4.432,0.1113
4.436,0.08603
4.44,0.09936
4.444,0.06002
4.448,0.04706
4.452,0.04937
4.456,0.05074
4.46,0.03653
4.464,0.03668
4.468,0.02912
4.472,0.05099
4.476,0.03472
4.48,0.03175
4.484,0.0335
4.488,0.02807
4.492,0.03744
4.496,0.04742
4.5,0.02859
4.504,0.02875
4.508,0.03728
4.512,0.02808
4.516,0.01113
4.52,0.0159
4.524,0.02093
4.528,0.01944
4.532,0.04379
4.536,0.01855
4.54,0.02153
4.544,0.01873
4.548,0.02955
4.552,-0.00254
4.556,0.02895
4.56,0.0316
4.564,0.03587
4.568,0.02273
4.572,0.02242
4.576,0.02483
4.58,0.02181
4.584,0.03324
4.588,0.02382
4.592,0.01755
4.596,0.00885
4.6,0.03999
4.604,0.0062
4.608,0.02835
4.612,0.03264
4.616,0.01165
4.62,0.03212
4.624,0.01827
4.628,0.02201
4.632,0.02303
4.636,0.03152
4.64,0.0114
4.644,0.03139
4.648,0.04453
4.652,0.02432
4.656,0.03984
4.66,0.02552
4.664,0.03229
4.668,0.01818
4.672,0.02647
4.676,0.02037
4.68,0.02763
4.684,0.01975
4.688,0.02387
4.692,0.01352
4.696,0.02739
4.7,0.00473
4.704,0.02296
4.708,0.01583
4.712,0.01947
4.716,0.03719
4.72,0.02293
4.724,0.01691
4.728,0.02611
4.732,0.05097
4.736,0.03105
4.74,0.03283
4.744,0.04649
4.748,0.04735
4.752,0.03892
4.756,0.05015
4.76,0.04312
4.764,0.06086
4.768,0.08474
4.772,0.08909
4.776,0.07831
4.78,0.1157
4.784,0.1331
4.788,0.14091
4.792,0.14095
4.796,0.19453
4.8,0.20928
4.804,0.28391
4.808,0.29304
4.812,0.34243
4.816,0.39785
4.82,0.43002
4.824,0.4923
4.828,0.54312
4.832,0.59162
4.836,0.64976
4.84,0.68993
4.844,0.74785
4.848,0.77586
4.852,0.8663
4.856,0.89298
4.86,0.94321
4.864,0.96809
4.868,0.99592
4.872,1.01818
4.876,1.0237
4.88,1.02541
4.884,1.04724
4.888,1.01231
4.892,1.00104
4.896,0.98063
4.9,0.95674
4.904,0.89517
4.908,0.86974
4.912,0.81623
4.916,0.76612
4.92,0.70886
4.924,0.6632
4.928,0.6034
4.932,0.57181
4.936,0.52687
4.94,0.47652
4.944,0.42018
4.948,0.3983
4.952,0.38739
4.956,0.30906
4.96,0.29803
4.964,0.27718
4.968,0.25162
4.972,0.25122
4.976,0.23976
4.98,0.2318
4.984,0.22652
4.988,0.216
4.992,0.22247
4.996,0.23185
5.0,0.21932
5.004,0.24611
5.008,0.25762
5.012,0.27681
5.016,0.27083
5.02,0.275
5.024,0.30998
5.028,0.29795
5.032,0.32119
5.036,0.30799
5.04,0.32928
5.044,0.33622
5.048,0.34154
5.052,0.34017
5.056,0.33632
5.06,0.3544
5.064,0.33628
5.068,0.34823
5.072,0.33624
5.076,0.34372
5.08,0.33603
5.084,0.31409
5.088,0.2994
5.092,0.29701
5.096,0.28325
5.1,0.25588
5.104,0.26104
5.108,0.26618
5.112,0.22104
5.116,0.19307
5.12,0.20835
5.124,0.17867
5.128,0.18479
5.132,0.14078
5.136,0.14403
5.14,0.13004
5.144,0.14197
5.148,0.12764
5.152,0.11204
5.156,0.09315
5.16,0.0954
5.164,0.10818
5.168,0.07984
5.172,0.07148
5.176,0.03882
5.18,0.06387
5.184,0.05176
5.188,0.04657
5.192,0.0483
5.196,0.06114
5.2,0.01932
5.204,0.03917
5.208,0.02253
5.212,0.04926
5.216,0.03285
5.22,0.04994
5.224,0.02776
5.228,0.02782
5.232,0.01887
5.236,0.01877
5.24,0.03988
5.244,0.04232
5.248,0.03907
5.252,0.03815
5.256,0.03638
5.26,0.02443
5.264,0.04443
5.268,0.01851
5.272,0.03264
5.276,0.02519
5.28,0.03121
5.284,0.02718
5.288,0.04928
5.292,0.03345
5.296,0.05124
5.3,0.01937
5.304,0.01608
5.308,0.02094
5.312,0.02672
5.316,0.02122
5.32,0.02342
5.324,0.01693
5.328,0.02922
5.332,0.02716
5.336,0.03245
5.34,0.02141
5.344,0.03731
5.348,0.02676
5.352,0.01902
5.356,0.04244
5.36,0.04092
5.364,0.02402
5.368,0.01778
5.372,0.00698
5.376,0.02939
5.38,0.01858
5.384,0.03453
5.388,0.03336
5.392,0.01959
5.396,0.03296
5.4,0.04152
5.404,0.02223
5.408,0.03979
5.412,0.04751
5.416,0.04445
5.42,0.04766
5.424,0.04206
5.428,0.06776
5.432,0.07805
5.436,0.0859
5.44,0.07765
5.444,0.09856
5.448,0.12824
5.452,0.14849
5.456,0.1639
5.46,0.19129
5.464,0.21238
5.468,0.24326
5.472,0.29702
5.476,0.34515
5.48,0.38339
5.484,0.42347
5.488,0.48772
5.492,0.53378
5.496,0.58203
5.5,0.64099
5.504,0.6736
5.508,0.72894
5.512,0.77152
5.516,0.84198
5.52,0.88966
5.524,0.91482
5.528,0.95249
5.532,1.00124
5.536,1.00031
5.54,0.99958
5.544,1.02477
5.548,1.02388
5.552,1.00407
5.556,0.99508
5.56,0.97831
5.564,0.95648
5.568,0.90829
5.572,0.86729
5.576,0.81582
5.58,0.75908
5.584,0.7075
5.588,0.66458
5.592,0.61161
5.596,0.55155
5.6,0.51394
5.604,0.47983
5.608,0.4233
5.612,0.40052
5.616,0.35564
5.62,0.30416
5.624,0.27639
5.628,0.27348
5.632,0.24995
5.636,0.2517
5.64,0.22827
5.644,0.21044
5.648,0.22772
5.652,0.20052
5.656,0.22048
5.66,0.22849
5.664,0.20858
5.668,0.22655
5.672,0.23322
5.676,0.25283
5.68,0.24845
5.684,0.27448
5.688,0.26817
5.692,0.29645
5.696,0.29783
5.7,0.3169
5.704,0.32258
5.708,0.32343
5.712,0.33317
5.716,0.33861
5.72,0.34347
5.724,0.33096
5.728,0.30876
5.732,0.33228
5.736,0.33003
5.74,0.31785
5.744,0.30015
5.748,0.2942
5.752,0.30381
5.756,0.2938
5.76,0.27936
5.764,0.26158
5.768,0.24388
5.772,0.21678
5.776,0.20628
5.78,0.20587
5.784,0.16247
5.788,0.1871
5.792,0.16139
5.796,0.15787
5.8,0.15719
5.804,0.14279
5.808,0.11881
5.812,0.10091
5.816,0.08963
5.82,0.07701
5.824,0.07698
5.828,0.08569
5.832,0.05919
5.836,0.0518
5.84,0.04626
5.844,0.02352
5.848,0.03945
5.852,0.02454
5.856,0.02641
5.86,0.02623
5.864,0.01729
5.868,0.01086
5.872,0.01569
5.876,-0.00348
5.88,0.02868
5.884,0.00755
5.888,0.01601
5.892,0.01988
5.896,0.00108
5.9,0.00791
5.904,0.00671
5.908,0.01943
5.912,0.01842
5.916,0.00619
5.92,0.00025
5.924,0.00907
5.928,-0.00233
5.932,-0.00011
5.936,0.01108
5.94,0.01354
5.944,-0.00076
5.948,0.0025
5.952,0.01137
5.956,-0.00706
5.96,-0.00349
5.964,0.00947
5.968,0.00753
5.972,-0.00017
5.976,-0.01503
5.98,-0.00978
5.984,-0.00499
5.988,0.01142
5.992,0.01894
5.996,-0.01087
6.0,0.01126
6.004,0.00344
6.008,-0.01014
6.012,7e-05
6.016,-0.01678
6.02,-0.00766
6.024,-0.00242
6.028,-0.01815
6.032,-0.01779
6.036,0.00985
6.04,0.00846
6.044,-0.00612
6.048,-0.00113
6.052,-0.00334
6.056,-0.01897
6.06,-0.00575
6.064,0.02449
6.068,-0.00096
6.072,-0.00224
6.076,0.00571
6.08,0.00379
6.084,-0.00641
6.088,0.00323
6.092,0.01392
6.096,0.00809
6.1,0.01199
6.104,0.02085
6.108,0.04344
6.112,0.01711
6.116,0.03862
