time_s,ecg_mv
0.82,0.15856
0.824,0.13244
0.828,0.11279
0.832,0.08544
0.836,0.09187
0.84,0.08767
0.844,0.06673
0.848,0.05001
0.852,0.07933
0.856,0.04781
0.86,0.05811
0.864,0.0524
0.868,0.03941
0.872,0.03266
0.876,0.06133
0.88,0.04753
0.884,0.04974
0.888,0.0561
0.892,0.03876
0.896,0.03972
0.9,0.0538
0.904,0.03952
0.908,0.04641
0.912,0.04142
0.916,0.05425
0.92,0.03967
0.924,0.04359
0.928,0.04342
0.932,0.03467
0.936,0.0478
0.94,0.03671
0.944,0.0413
0.948,0.06582
0.952,0.0741
0.956,0.05355
0.96,0.01116
0.964,0.04338
0.968,0.04783
0.972,0.05898
0.976,0.05277
0.98,0.05169
0.984,0.04572
0.988,0.06922
0.992,0.03186
0.996,0.04331
1.0,0.05712
1.004,0.0644
1.008,0.06689
1.012,0.02394
1.016,0.06337
1.02,0.04376
1.024,0.04615
1.028,0.03971
1.032,0.0452
1.036,0.0383
1.04,0.04942
1.044,0.0475
1.048,0.02426
1.052,0.05196
1.056,0.03486
1.06,0.04569
1.064,0.04749
1.068,0.06793
1.072,0.04373
1.076,0.04054
1.08,0.04645
1.084,0.052
1.088,0.04398
1.092,0.05666
1.096,0.04846
1.1,0.05651
1.104,0.07022
1.108,0.01647
1.112,0.08044
1.116,0.04517
1.12,0.04476
1.124,0.02768
1.128,0.03342
1.132,0.04555
1.136,0.01718
1.14,0.04368
1.144,0.04701
1.148,0.03819
1.152,0.05273
1.156,0.02197
1.16,0.0267
1.164,0.02377
1.168,0.0382
1.172,0.02093
1.176,0.03703
1.18,0.04592
1.184,0.02218
1.188,0.05093
1.192,0.06213
1.196,0.04748
1.2,0.03097
1.204,0.03842
1.208,0.0185
1.212,0.05482
1.216,0.04813
1.22,0.05618
1.224,0.04654
1.228,0.05825
1.232,0.03238
1.236,0.03519
1.24,0.04062
1.244,0.04611
1.248,0.03578
1.252,0.05219
1.256,0.046
1.26,0.07911
1.264,0.04981
1.268,0.06617
1.272,0.09354
1.276,0.09426
1.28,0.11446
1.284,0.12271
1.288,0.1114
1.292,0.11865
1.296,0.09823
1.3,0.11754
1.304,0.12496
1.308,0.09408
1.312,0.09978
1.316,0.10057
1.32,0.05731
1.324,0.07378
1.328,0.04539
1.332,0.05858
1.336,0.04807
1.34,0.04366
1.344,0.01681
1.348,0.04661
1.352,0.03998
1.356,0.02467
1.36,0.03058
1.364,0.01353
1.368,0.00727
1.372,0.03215
1.376,0.03521
1.38,0.01193
1.384,0.02872
1.388,0.01204
1.392,0.06309
1.396,0.02676
1.4,0.0149
1.404,0.03223
1.408,-0.00443
1.412,0.04618
1.416,-0.00789
1.42,0.00175
1.424,-0.04408
1.428,-0.05822
1.432,-0.04253
1.436,-0.00856
1.44,0.20384
1.444,0.48335
1.448,0.84169
1.452,1.15256
1.456,1.17481
1.46,0.90674
1.464,0.50061
1.468,0.1418
1.472,-0.09056
1.476,-0.21466
1.48,-0.23026
1.484,-0.17455
1.488,-0.10389
1.492,-0.03672
1.496,-0.00193
1.5,0.00288
1.504,0.01127
1.508,0.01243
1.512,0.03869
1.516,-0.00827
1.52,0.01034
1.524,0.02406
1.528,0.021
1.532,0.02354
1.536,0.022
1.54,0.00377
1.544,0.0423
1.548,0.02967
1.552,0.0475
1.556,0.0305
1.56,0.02732
1.564,0.03139
1.568,0.08374
1.572,0.09251
1.576,0.08811
1.58,0.121
1.584,0.15091
1.588,0.16434
1.592,0.17765
1.596,0.22248
1.6,0.23321
1.604,0.2391
1.608,0.27034
1.612,0.28672
1.616,0.31063
1.62,0.30689
1.624,0.3174
1.628,0.28452
1.632,0.30454
1.636,0.28985
1.64,0.26218
1.644,0.26614
1.648,0.22121
1.652,0.18355
1.656,0.19682
1.66,0.15868
1.664,0.1423
1.668,0.10182
1.672,0.09823
1.676,0.09692
1.68,0.05257
1.684,0.06159
1.688,0.02563
1.692,0.02667
1.696,-0.01373
1.7,0.01523
1.704,0.02564
1.708,0.01417
1.712,-0.0015
1.716,-0.00831
1.72,0.00701
1.724,-0.00953
1.728,-0.0162
1.732,-0.00738
1.736,-0.01818
1.74,-0.01821
1.744,0.00069
1.748,-0.01366
1.752,-0.00712
1.756,-0.01494
1.76,-0.02366
1.764,-0.00623
1.768,-0.00769
1.772,0.00044
1.776,0.00014
1.78,0.01045
1.784,-0.0295
1.788,-0.00662
1.792,0.00616
1.796,-0.00774
1.8,0.00406
1.804,-0.0172
1.808,-0.03022
1.812,-0.01841
1.816,-0.01607
1.82,-0.00092
1.824,-0.01139
1.828,-0.03073
1.832,-0.0138
1.836,-0.01947
1.84,-0.00471
1.844,-0.01789
1.848,-0.02397
1.852,-0.01339
1.856,-0.00455
1.86,-0.02158
1.864,-0.01636
1.868,-0.01759
1.872,-0.02921
1.876,-0.02319
1.88,-0.0221
1.884,-0.01681
1.888,-0.04098
1.892,-0.01712
1.896,-0.01561
1.9,-0.00301
1.904,-0.03264
1.908,-0.00562
1.912,-0.03187
1.916,-0.01653
1.92,-0.02131
1.924,-0.03211
1.928,-0.02324
1.932,-0.02642
1.936,-0.035
1.94,-0.03988
1.944,-0.01785
1.948,-0.02421
1.952,-0.01488
1.956,-0.02745
1.96,-0.0218
1.964,-0.02082
1.968,-0.02198
1.972,-0.03471
1.976,-0.02734
1.98,-0.01796
1.984,-0.03524
1.988,-0.01947
1.992,-0.02965
1.996,-0.02841
2.0,-0.03502
2.004,-0.03601
2.008,-0.02358
2.012,-0.04899
2.016,-0.04551
2.02,-0.02433
2.024,-0.02688
2.028,-0.02608
2.032,-0.04014
2.036,-0.02571
2.04,-0.03798
2.044,-0.03561
2.048,-0.03259
2.052,-0.02248
2.056,-0.02355
2.06,-0.04802
2.064,-0.02908
2.068,-0.01168
2.072,-0.01997
2.076,-0.03633
2.08,-0.00318
2.084,-0.00217
2.088,0.00667
2.092,0.00758
2.096,0.01796
2.1,0.01539
2.104,0.02535
2.108,0.03494
2.112,0.04014
2.116,0.05201
2.12,0.03346
2.124,0.04834
2.128,0.03491
2.132,0.01709
2.136,-0.00145
2.14,0.01086
2.144,-0.00321
2.148,0.00545
2.152,-0.03376
2.156,-0.04635
2.16,-0.02092
2.164,-0.03385
2.168,-0.04163
2.172,-0.0343
2.176,-0.03804
2.18,-0.03894
2.184,-0.03158
2.188,-0.03436
2.192,-0.03481
2.196,-0.01821
2.2,-0.03856
2.204,-0.05193
2.208,-0.04373
2.212,-0.03822
2.216,-0.03467
2.22,-0.05586
2.224,-0.06089
2.228,-0.03948
2.232,-0.0365
2.236,-0.06151
2.24,-0.07396
2.244,-0.07738
2.248,-0.09079
2.252,-0.12047
2.256,-0.11775
2.26,-0.00867
2.264,0.21471
2.268,0.54792
2.272,0.8985
2.276,1.14421
2.28,1.03304
2.284,0.72437
2.288,0.28568
2.292,-0.03566
2.296,-0.21129
2.3,-0.25608
2.304,-0.26909
2.308,-0.20511
2.312,-0.16619
2.316,-0.10279
2.32,-0.07924
2.324,-0.06322
2.328,-0.04585
2.332,-0.02743
2.336,-0.04601
2.34,-0.03611
2.344,-0.04595
2.348,-0.03321
2.352,-0.0439
2.356,-0.05249
2.36,-0.04556
2.364,-0.06657
2.368,-0.03702
2.372,-0.03568
2.376,-0.02415
2.38,-0.03754
2.384,0.02614
2.388,-0.02459
2.392,0.00886
2.396,0.03872
2.4,0.0477
2.404,0.08843
2.408,0.11519
2.412,0.09192
2.416,0.12484
2.42,0.16936
2.424,0.18077
2.428,0.2092
2.432,0.23256
2.436,0.24411
2.44,0.23155
2.444,0.25346
2.448,0.24209
2.452,0.24682
2.456,0.22231
2.46,0.2195
2.464,0.18691
2.468,0.20092
2.472,0.15793
2.476,0.16142
2.48,0.13636
2.484,0.0927
2.488,0.0932
2.492,0.06654
2.496,0.03194
2.5,0.02886
2.504,0.0089
2.508,-0.02257
2.512,0.00071
2.516,-0.00839
2.52,-0.03458
2.524,-0.02428
2.528,-0.03394
2.532,-0.04375
2.536,-0.05771
2.54,-0.03598
2.544,-0.03698
2.548,-0.03912
2.552,-0.03446
2.556,-0.03926
2.56,-0.03596
2.564,-0.04659
2.568,-0.02927
2.572,-0.07493
2.576,-0.05204
2.58,-0.05123
2.584,-0.05152
2.588,-0.04403
2.592,-0.02323
2.596,-0.04143
2.6,-0.03235
2.604,-0.06216
2.608,-0.03646
2.612,-0.03353
2.616,-0.04685
2.62,-0.05986
2.624,-0.04325
2.628,-0.05343
2.632,-0.05344
2.636,-0.03331
2.64,-0.04145
2.644,-0.03847
2.648,-0.04722
2.652,-0.04946
2.656,-0.03067
2.66,-0.03705
2.664,-0.04308
2.668,-0.03447
2.672,-0.03033
2.676,-0.05168
2.68,-0.05408
2.684,-0.05929
2.688,-0.04014
2.692,-0.03095
2.696,-0.03713
2.7,-0.03282
2.704,-0.05197
2.708,-0.0309
2.712,-0.05518
2.716,-0.03562
2.72,-0.05199
2.724,-0.03031
2.728,-0.03347
2.732,-0.04878
2.736,-0.03794
2.74,-0.04513
2.744,-0.05654
2.748,-0.02533
2.752,-0.06504
2.756,-0.02438
2.76,-0.03389
2.764,-0.04792
2.768,-0.04835
2.772,-0.04479
2.776,-0.04805
2.78,-0.04118
2.784,-0.05301
2.788,-0.03663
2.792,-0.05367
2.796,-0.04562
2.8,-0.04962
2.804,-0.04159
2.808,-0.04049
2.812,-0.03479
2.816,-0.05328
2.82,-0.04421
2.824,-0.04866
2.828,-0.04449
2.832,-0.03069
2.836,-0.04617
2.84,-0.04732
2.844,-0.04004
2.848,-0.02967
2.852,-0.04298
2.856,-0.05165
2.86,-0.04255
2.864,-0.04792
2.868,-0.05373
2.872,-0.03459
2.876,-0.02516
2.88,-0.0481
2.884,-0.04641
2.888,-0.02368
2.892,-0.05767
2.896,-0.02543
2.9,-0.03041
2.904,-0.02464
2.908,-0.02368
2.912,-0.05455
2.916,-0.03531
2.92,-0.01445
2.924,-0.0197
2.928,-0.04722
2.932,-0.02984
2.936,0.00168
2.94,-0.02052
2.944,0.01068
2.948,0.0263
2.952,0.02382
2.956,0.04276
2.96,0.05772
2.964,0.05107
2.968,0.04987
2.972,0.0271
2.976,0.02914
2.98,0.04779
2.984,0.01537
2.988,0.02038
2.992,0.00593
2.996,-0.00892
3.0,-0.00974
3.004,-0.00847
3.008,-0.01717
3.012,-0.03601
3.016,-0.02526
3.02,-0.01484
3.024,-0.0101
3.028,-0.03013
3.032,-9e-05
3.036,-0.03968
3.04,-0.01442
3.044,-0.01546
3.048,-0.03772
3.052,-0.00936
3.056,-0.03506
3.06,-0.02058
3.064,-0.01859
3.068,-0.03595
3.072,-0.02917
3.076,-0.02147
3.08,-0.01193
3.084,-0.02096
3.088,-0.03621
3.092,-0.03981
3.096,-0.06834
3.1,-0.09824
3.104,-0.10064
3.108,-0.05526
3.112,0.07916
3.116,0.36923
3.12,0.76477
3.124,1.07449
3.128,1.12648
3.132,0.92911
3.136,0.54794
3.14,0.15894
3.144,-0.1031
3.148,-0.21542
3.152,-0.2466
3.156,-0.21894
3.16,-0.15602
3.164,-0.11236
3.168,-0.05239
3.172,-0.02602
3.176,-0.01188
3.18,-0.02424
3.184,-0.02262
3.188,-0.00845
3.192,-0.00803
3.196,-0.03158
3.2,-0.02392
3.204,-0.01675
3.208,-0.00248
3.212,-0.01664
3.216,-0.01071
3.22,-0.00476
3.224,0.03474
3.228,0.04683
3.232,0.04163
3.236,0.04744
3.24,0.04772
3.244,0.08512
3.248,0.09226
3.252,0.07312
3.256,0.13713
3.26,0.13363
3.264,0.15559
3.268,0.18388
3.272,0.19121
3.276,0.2364
3.28,0.25062
3.284,0.26858
3.288,0.29221
3.292,0.30757
3.296,0.29804
3.3,0.26841
3.304,0.27805
3.308,0.29441
3.312,0.2744
3.316,0.24863
3.32,0.24093
3.324,0.19504
3.328,0.21267
3.332,0.18371
3.336,0.13244
3.34,0.10726
3.344,0.0899
3.348,0.07387
3.352,0.10067
3.356,0.07385
3.36,0.05371
3.364,0.06058
3.368,0.03346
3.372,0.02338
3.376,0.01014
3.38,-0.00627
3.384,-0.00606
3.388,-0.00819
3.392,0.00598
3.396,-0.00564
3.4,0.01001
3.404,0.01849
3.408,0.0026
3.412,0.01247
3.416,0.02785
3.42,0.00213
3.424,0.00054
3.428,0.00532
3.432,-0.0104
3.436,0.01168
3.44,-7e-05
3.444,0.00441
3.448,0.01792
3.452,0.0114
3.456,-0.00884
3.46,0.00792
3.464,0.01221
3.468,0.00259
3.472,-0.00118
3.476,0.00664
3.48,0.00207
3.484,-0.00385
3.488,0.00454
3.492,-0.0088
3.496,0.00501
3.5,0.00767
3.504,0.02843
3.508,0.00244
3.512,0.02266
3.516,0.02946
3.52,0.00073
3.524,0.01254
3.528,0.01613
3.532,0.01548
3.536,0.01196
3.54,0.01586
3.544,0.03471
3.548,0.01906
3.552,0.01802
3.556,0.03814
3.56,0.0164
3.564,0.03276
3.568,0.0229
3.572,0.00932
3.576,0.01845
3.58,0.00254
3.584,0.02545
3.588,0.03351
3.592,0.02312
3.596,0.03449
3.6,0.01817
3.604,0.01307
3.608,0.01565
3.612,0.01518
3.616,0.02924
3.62,0.01643
3.624,0.00906
3.628,0.03275
3.632,0.03477
3.636,0.03477
3.64,0.02142
3.644,0.01203
3.648,0.00775
3.652,0.02323
3.656,0.01659
3.66,0.0443
3.664,0.05135
3.668,0.00921
3.672,0.03039
3.676,-0.00235
3.68,0.033
3.684,0.03828
3.688,0.04
3.692,0.01931
3.696,0.01587
3.7,0.03629
3.704,0.04048
3.708,0.01985
3.712,0.02545
3.716,0.03091
3.72,0.02571
3.724,0.02978
3.728,0.07133
3.732,0.00637
3.736,0.03873
3.74,0.02316
3.744,0.05008
3.748,0.05843
3.752,0.06121
3.756,0.07959
3.76,0.09502
3.764,0.10128
3.768,0.09719
3.772,0.10774
3.776,0.11217
3.78,0.12518
3.784,0.10257
3.788,0.12368
3.792,0.12932
3.796,0.09277
3.8,0.1102
3.804,0.09331
3.808,0.08737
3.812,0.05998
3.816,0.05371
3.82,0.03396
3.824,0.06575
3.828,0.04149
3.832,0.04191
3.836,0.04225
3.84,0.03242
3.844,0.05362
3.848,0.03264
3.852,0.02677
3.856,0.03804
3.86,0.07204
3.864,0.0425
3.868,0.03601
3.872,0.04563
3.876,0.03544
3.88,0.03447
3.884,0.04606
3.888,0.03728
3.892,0.06122
3.896,0.00765
3.9,0.03336
3.904,0.02251
3.908,-0.00388
3.912,-0.01962
3.916,-0.06018
3.92,-0.0004
3.924,0.12395
3.928,0.41302
3.932,0.75406
3.936,1.08409
3.94,1.21981
3.944,1.03847
3.948,0.66155
3.952,0.27186
3.956,0.00475
3.96,-0.14882
3.964,-0.17098
3.968,-0.14865
3.972,-0.11382
3.976,-0.01296
3.98,0.04477
3.984,0.01604
3.988,0.05659
3.992,0.06075
3.996,0.05486
4.0,0.05712
4.004,0.05733
4.008,0.05062
4.012,0.04923
4.016,0.07043
4.02,0.05912
4.024,0.04175
4.028,0.03948
4.032,0.07138
4.036,0.05182
4.04,0.077
4.044,0.09463
4.048,0.12001
4.052,0.10466
4.056,0.1354
4.06,0.13227
4.064,0.14475
4.068,0.17439
4.072,0.18967
4.076,0.20725
4.08,0.24403
4.084,0.25709
4.088,0.27545
4.092,0.31968
4.096,0.32519
4.1,0.3257
4.104,0.35177
4.108,0.35211
4.112,0.36973
4.116,0.36206
4.12,0.3304
4.124,0.31568
4.128,0.31503
4.132,0.27167
4.136,0.26819
4.14,0.23584
4.144,0.23041
4.148,0.17711
4.152,0.18333
4.156,0.16658
4.16,0.1322
4.164,0.12685
4.168,0.09857
4.172,0.08464
4.176,0.07484
4.18,0.09379
4.184,0.0652
4.188,0.07399
4.192,0.06654
4.196,0.04757
4.2,0.04949
4.204,0.04907
4.208,0.05648
4.212,0.02821
4.216,0.05719
4.22,0.06912
4.224,0.04801
4.228,0.03882
4.232,0.05736
4.236,0.05256
4.24,0.04806
4.244,0.0725
4.248,0.053
4.252,0.02252
4.256,0.05764
4.26,0.05143
4.264,0.03674
4.268,0.0407
4.272,0.05623
4.276,0.04849
4.28,0.06723
4.284,0.03576
4.288,0.05529
4.292,0.05381
4.296,0.05476
4.3,0.03883
4.304,0.04073
4.308,0.0281
4.312,0.04129
4.316,0.05529
4.32,0.0715
4.324,0.06632
4.328,0.03658
4.332,0.04943
4.336,0.05277
4.34,0.04958
4.344,0.05348
4.348,0.04174
4.352,0.03696
4.356,0.04431
4.36,0.02941
4.364,0.03846
4.368,0.05901
4.372,0.06626
4.376,0.04144
4.38,0.02293
4.384,0.06856
4.388,0.06624
4.392,0.02815
4.396,0.02871
4.4,0.04625
4.404,0.05886
4.408,0.0474
4.412,0.05821
4.416,0.03791
4.42,0.03633
4.424,0.03395
4.428,0.05763
4.432,0.0438
4.436,0.04633
4.44,0.03364
4.444,0.05585
4.448,0.04924
4.452,0.03658
4.456,0.02766
4.46,0.05715
4.464,0.03749
4.468,0.04187
4.472,0.02517
4.476,0.0431
4.48,0.08205
4.484,0.06153
4.488,0.03436
4.492,0.02064
4.496,0.06068
4.5,0.03954
4.504,0.0396
4.508,0.02921
4.512,0.05212
4.516,0.04595
4.52,0.03645
4.524,0.04276
4.528,0.04167
4.532,0.02918
4.536,0.05213
4.54,0.04066
4.544,0.02921
4.548,0.03306
4.552,0.04543
4.556,0.04897
4.56,0.03503
4.564,0.03077
4.568,0.04226
4.572,0.04576
4.576,0.04011
4.58,0.02736
4.584,0.02017
4.588,0.04882
4.592,0.04639
4.596,0.0191
4.6,0.02721
4.604,0.03022
4.608,0.05451
4.612,0.04207
4.616,0.04989
4.62,0.04708
4.624,0.0415
4.628,0.05434
4.632,0.06545
4.636,0.07805
4.64,0.06643
4.644,0.1095
4.648,0.0872
4.652,0.09753
4.656,0.10522
4.66,0.12749
4.664,0.09951
4.668,0.0908
4.672,0.11634
4.676,0.0968
4.68,0.07837
4.684,0.07308
4.688,0.08805
4.692,0.052
4.696,0.04695
4.7,0.05145
4.704,0.00945
4.708,0.03206
4.712,0.05107
4.716,0.02671
4.72,0.04335
4.724,0.02723
4.728,0.02963
4.732,0.03779
4.736,0.03562
4.74,0.03033
4.744,0.01843
4.748,0.02095
4.752,0.01485
4.756,0.02455
4.76,0.03737
4.764,0.02445
4.768,0.03576
4.772,0.00686
4.776,0.01808
4.78,0.0125
4.784,0.00551
4.788,-0.01022
4.792,-0.04714
4.796,-0.0741
4.8,-0.07129
4.804,0.03617
4.808,0.19585
4.812,0.51673
4.816,0.88247
4.82,1.1306
4.824,1.16183
4.828,0.86802
4.832,0.4637
4.836,0.11664
4.84,-0.12032
4.844,-0.20393
4.848,-0.21513
4.852,-0.16799
4.856,-0.1338
4.86,-0.07658
4.864,-0.02889
4.868,-0.0054
4.872,-0.01123
4.876,-0.0086
4.88,0.01423
4.884,0.04015
4.888,0.02468
4.892,-0.00757
4.896,0.01877
4.9,0.02812
4.904,-0.00037
4.908,0.02575
4.912,0.01884
4.916,0.03389
4.92,0.0186
4.924,0.04493
4.928,0.05173
4.932,0.05676
4.936,0.08653
4.94,0.09025
4.944,0.10489
4.948,0.13862
4.952,0.14958
4.956,0.16246
4.96,0.17216
4.964,0.235
4.968,0.23505
4.972,0.23439
4.976,0.2881
4.98,0.27742
4.984,0.28794
4.988,0.3084
4.992,0.30115
4.996,0.293
5.0,0.30691
5.004,0.29933
5.008,0.25853
5.012,0.25287
5.016,0.23231
5.02,0.18031
5.024,0.17354
5.028,0.1557
5.032,0.1334
5.036,0.12509
5.04,0.10814
5.044,0.06315
5.048,0.07463
5.052,0.04688
5.056,0.06358
5.06,0.01025
5.064,-0.00402
5.068,0.00765
5.072,0.01234
5.076,-0.01829
5.08,0.01612
5.084,0.00849
5.088,-0.0179
5.092,-0.00166
5.096,-0.0109
5.1,-0.02319
5.104,-0.02164
5.108,0.00796
5.112,-0.01392
5.116,0.00302
5.12,-0.01003
5.124,-0.01341
5.128,-0.00841
5.132,-0.0155
5.136,-0.04795
5.14,-0.03067
5.144,-0.01416
5.148,0.00219
5.152,-0.01358
5.156,-0.01803
5.16,-0.02589
5.164,-0.00839
5.168,-0.00266
5.172,-0.0154
5.176,-0.01961
5.18,-0.01129
5.184,-0.01852
5.188,-0.01726
5.192,-0.01831
5.196,-0.02285
5.2,-0.02167
5.204,-0.02482
5.208,-0.02004
5.212,-0.03026
5.216,-0.0165
5.22,-0.02291
5.224,-0.03711
5.228,-0.03303
5.232,-0.02064
5.236,-0.00716
5.24,-0.00412
5.244,-0.04258
5.248,-0.0328
5.252,-0.02693
5.256,0.00451
5.26,-0.0178
5.264,-0.00225
5.268,-0.02356
5.272,-0.0288
5.276,-0.0303
5.28,-0.02402
5.284,-0.02709
5.288,-0.04526
5.292,-0.01815
5.296,-0.02357
5.3,-0.04647
5.304,-0.0345
5.308,-0.03503
5.312,-0.0236
5.316,-0.02102
5.32,-0.02687
5.324,-0.04163
5.328,-0.02147
5.332,-0.00326
5.336,-0.03019
5.34,-0.03637
5.344,-0.01929
5.348,-0.02566
5.352,-0.01436
5.356,-0.01308
5.36,-0.05081
5.364,-0.02887
5.368,-0.0174
5.372,-0.04873
5.376,-0.03381
5.38,-0.0408
5.384,-0.02584
5.388,-0.02848
5.392,-0.03795
5.396,-0.04483
5.4,-0.02876
5.404,-0.04857
5.408,-0.04152
5.412,-0.02568
5.416,-0.00393
5.42,-0.06328
5.424,-0.04717
5.428,-0.0408
5.432,-0.0614
5.436,-0.03147
5.44,-0.04854
5.444,-0.06966
5.448,-0.04031
5.452,-0.01957
5.456,-0.05265
5.46,-0.04975
5.464,-0.03668
5.468,-0.05321
5.472,-0.03028
5.476,-0.02761
5.48,-0.01575
5.484,-0.0323
5.488,-0.00609
5.492,0.00369
5.496,0.01078
5.5,0.0235
5.504,0.03514
5.508,0.03657
5.512,0.03996
5.516,0.03829
5.52,0.03578
5.524,0.04483
5.528,0.02839
5.532,0.03115
5.536,0.02178
5.54,0.01076
5.544,0.00367
5.548,-0.0084
5.552,-0.03552
5.556,-0.02447
5.56,-0.02451
5.564,-0.05237
5.568,-0.05297
5.572,-0.04426
5.576,-0.02294
5.58,-0.0657
5.584,-0.02985
5.588,-0.05038
5.592,-0.0573
5.596,-0.05846
5.6,-0.05913
5.604,-0.04026
5.608,-0.0463
5.612,-0.04312
5.616,-0.04752
5.62,-0.06315
5.624,-0.02753
5.628,-0.054
5.632,-0.06325
5.636,-0.05384
5.64,-0.05089
5.644,-0.08859
5.648,-0.09674
5.652,-0.12071
5.656,-0.12588
5.66,-0.08697
5.664,0.07232
5.668,0.32874
5.672,0.69317
5.676,1.03946
5.68,1.10762
5.684,0.92032
5.688,0.54922
5.692,0.1703
5.696,-0.14755
5.7,-0.23811
5.704,-0.29578
5.708,-0.25503
5.712,-0.21264
5.716,-0.13639
5.72,-0.09514
5.724,-0.07064
5.728,-0.0614
5.732,-0.05022
5.736,-0.03738
5.74,-0.05446
5.744,-0.03258
5.748,-0.05453
5.752,-0.06533
5.756,-0.04974
5.76,-0.06453
5.764,-0.03213
5.768,-0.04349
5.772,-0.06554
5.776,-0.04564
5.78,-0.01174
5.784,-0.00892
5.788,-0.00059
5.792,0.02568
5.796,0.03896
5.8,0.06109
5.804,0.06188
5.808,0.06226
5.812,0.11282
5.816,0.1194
5.82,0.12634
5.824,0.16222
5.828,0.1883
5.832,0.20684
5.836,0.21976
5.84,0.2376
5.844,0.2479
5.848,0.2718
5.852,0.26319
5.856,0.24497
5.86,0.22038
5.864,0.2271
5.868,0.20638
5.872,0.18952
5.876,0.15327
5.88,0.13609
5.884,0.14717
5.888,0.10767
5.892,0.09384
5.896,0.0505
5.9,0.02625
5.904,0.01909
5.908,0.02416
5.912,0.00087
5.916,-0.02237
5.92,-0.03164
5.924,-0.04003
5.928,-0.05048
5.932,-0.03802
5.936,-0.02835
5.94,-0.04931
5.944,-0.04647
5.948,-0.03443
5.952,-0.05362
5.956,-0.0514
5.96,-0.04575
5.964,-0.07075
5.968,-0.05995
5.972,-0.05318
